TIME,Divorces
1882,69
1883,65
1884,87
1885,76
1886,97
1887,80
1888,107
1889,100
1890,87
1891,107
1892,118
1893,112
1894,120
1895,117
1896,133
1897,142
1898,135
1899,176
1900,144
1901,158
1902,204
1903,194
1904,182
1905,167
1906,173
1907,200
1908,189
1909,192
1910,223
1911,234
1912,249
1913,250
1914,347
1915,242
1916,267
1917,297
1918,485
1919,429
1920,476
1921,500
1922,382
1923,363
1924,438
1925,451
1926,425
1927,474
1928,504
1929,519
1930,469
1931,569
1932,488
1933,510
1934,468
1935,498
1936,642
