time,GYL
2014M10,1199236.31
2014M11,1208605.95
2014M12,1228374.81
2015M01,1242710.22
2015M02,1257380.48
2015M03,1275332.78
2015M04,1280779.14
2015M05,1307357.63
2015M06,1333375.36
2015M07,1353210.92
2015M08,1356907.98
2015M09,1359824.06
2015M10,1361020.7
2015M11,1373956.01
2015M12,1392278.11
2016M01,1416319.55
2016M02,1424618.68
2016M03,1446198.03
2016M04,1445209.59
2016M05,1461695.11
2016M06,1490491.83
2016M07,1491558.72
2016M08,1510982.91
2016M09,1516360.5
2016M10,1519485.4
2016M11,1530432.06
2016M12,1550066.67
2017M01,1575945.59
2017M02,1582913.07
2017M03,1599609.57
2017M04,1596331.87
2017M05,1601360.42
2017M06,1631282.53
2017M07,1628996.63
2017M08,1645156.6
